"family","genus","species","binomial","type"
"Nymphalidae","Amnosia","decora","Amnosia_decora",1
"Nymphalidae","Pseudergolis","wedah","Pseudergolis_wedah",1
"Nymphalidae","Heliconius","sapho","Heliconius_sapho",1
"Nymphalidae","Heliconius","antiochus","Heliconius_antiochus",1
"Nymphalidae","Heliconius","sara","Heliconius_sara",1
"Nymphalidae","Heliconius","hewitsoni","Heliconius_hewitsoni",1
"Nymphalidae","Heliconius","ricini","Heliconius_ricini",1
"Nymphalidae","Heliconius","demeter","Heliconius_demeter",1
"Nymphalidae","Heliconius","hortense","Heliconius_hortense",1
"Nymphalidae","Heliconius","clysonymus","Heliconius_clysonymus",1
"Nymphalidae","Heliconius","erato","Heliconius_erato",1
"Nymphalidae","Heliconius","hermathena","Heliconius_hermathena",1
"Nymphalidae","Heliconius","hecalesia","Heliconius_hecalesia",1
"Nymphalidae","Heliconius","doris","Heliconius_doris",1
"Nymphalidae","Heliconius","xanthocles","Heliconius_xanthocles",1
"Nymphalidae","Heliconius","wallacei","Heliconius_wallacei",1
"Nymphalidae","Heliconius","burneyi","Heliconius_burneyi",1
"Nymphalidae","Heliconius","egeria","Heliconius_egeria",1
"Nymphalidae","Heliconius","elevatus","Heliconius_elevatus",1
"Nymphalidae","Heliconius","pardalinus","Heliconius_pardalinus",1
"Nymphalidae","Heliconius","hecale","Heliconius_hecale",1
"Nymphalidae","Heliconius","ethilla","Heliconius_ethilla",1
"Nymphalidae","Heliconius","melpomene","Heliconius_melpomene",1
"Nymphalidae","Heliconius","timareta","Heliconius_timareta",1
"Nymphalidae","Heliconius","heurippa","Heliconius_heurippa",1
"Nymphalidae","Heliconius","pachinus","Heliconius_pachinus",1
"Nymphalidae","Heliconius","cydno","Heliconius_cydno",1
"Nymphalidae","Heliconius","numata","Heliconius_numata",1
"Nymphalidae","Heliconius","besckei","Heliconius_besckei",1
"Nymphalidae","Heliconius","ismenius","Heliconius_ismenius",1
"Nymphalidae","Heliconius","nattereri","Heliconius_nattereri",1
"Nymphalidae","Heliconius","aoede","Heliconius_aoede",1
"Nymphalidae","Heliconius","metharme","Heliconius_metharme",1
"Nymphalidae","Eueides","pavana","Eueides_pavana",0
"Nymphalidae","Eueides","vibilia","Eueides_vibilia",1
"Nymphalidae","Eueides","procula","Eueides_procula",1
"Nymphalidae","Eueides","isabella","Eueides_isabella",1
"Nymphalidae","Eueides","aliphera","Eueides_aliphera",1
"Nymphalidae","Eueides","lybia","Eueides_lybia",1
