Family,Genus,Species,wingspan(mm),wingspan-male(mm),wingspan-female(mm),bodyVolume(mm3),hostType,num.Host.Plant.genera,Source
Nymphalidae,Aglais,urticae,,,,146.9,,-,Zeuss-2016
Nymphalidae,Apatura,ilia,,,,267.7,,-,Zeuss-2016
Nymphalidae,Apatura,iris,,,,264.8,,-,Zeuss-2016
Nymphalidae,Apatura,metis,,,,236.2,,-,Zeuss-2016
Nymphalidae,Araschnia,levana,,,,38.9,,-,Zeuss-2016
Nymphalidae,Argynnis,adippe,,,,247.3,,-,Zeuss-2016
Nymphalidae,Argynnis,aglaja,,,,192.8,,-,Zeuss-2016
Nymphalidae,Argynnis,laodice,,,,179.4,,-,Zeuss-2016
Nymphalidae,Argynnis,niobe,,,,163.7,,-,Zeuss-2016
Nymphalidae,Argynnis,pandora,,,,360.4,,-,Zeuss-2016
Nymphalidae,Argynnis,paphia,,,,186.5,,-,Zeuss-2016
Nymphalidae,Boloria,aquilonaris,,,,68.2,,-,Zeuss-2016
Nymphalidae,Boloria,graeca,,,,86.6,,-,Zeuss-2016
Nymphalidae,Boloria,napaea,,,,84.1,,-,Zeuss-2016
Nymphalidae,Boloria,pales,,,,66.4,,-,Zeuss-2016
Nymphalidae,Brenthis,daphne,,,,121.8,,-,Zeuss-2016
Nymphalidae,Brenthis,hecate,,,,62.3,,-,Zeuss-2016
Nymphalidae,Brenthis,ino,,,,63.4,,-,Zeuss-2016
Nymphalidae,Clossiana,chariclea,,,,76.6,,-,Zeuss-2016
Nymphalidae,Clossiana,dia,,,,54.8,,-,Zeuss-2016
Nymphalidae,Clossiana,euphorysne,,,,102.5,,-,Zeuss-2016
Nymphalidae,Clossiana,freija,,,,72.5,,-,Zeuss-2016
Nymphalidae,Clossiana,frigga,,,,76.9,,-,Zeuss-2016
Nymphalidae,Clossiana,improba,,,,51.4,,-,Zeuss-2016
Nymphalidae,Clossiana,polaris,,,,87.7,,-,Zeuss-2016
Nymphalidae,Clossiana,selene,,,,72,,-,Zeuss-2016
Nymphalidae,Clossiana,thore,,,,100.3,,-,Zeuss-2016
Nymphalidae,Clossiana,titania,,,,113.3,,-,Zeuss-2016
Nymphalidae,Eurodryas,aurinia,,,,93.2,,-,Zeuss-2016
Nymphalidae,Eurodryas,desfontainii,,,,147.3,,-,Zeuss-2016
Nymphalidae,Hypodryas,cynthia,,,,93.3,,-,Zeuss-2016
Nymphalidae,Hypodryas,iduna,,,,85.5,,-,Zeuss-2016
Nymphalidae,Hypodryas,intermedia,,,,101,,-,Zeuss-2016
Nymphalidae,Hypodryas,maturna,,,,144.7,,-,Zeuss-2016
Nymphalidae,Issoria,lathonia,,,,110.7,,-,Zeuss-2016
Nymphalidae,Limenitis,populi,,,,326,,-,Zeuss-2016
Nymphalidae,Melitaea,aetherica,,,,163.9,,-,Zeuss-2016
Nymphalidae,Melitaea,arduinna,,,,126.3,,-,Zeuss-2016
Nymphalidae,Melitaea,cinxia,,,,117.9,,-,Zeuss-2016
Nymphalidae,Melitaea,diamina,,,,59.8,,-,Zeuss-2016
Nymphalidae,Melitaea,didyma,,,,60.4,,-,Zeuss-2016
Nymphalidae,Melitaea,phoebe,,,,84.4,,-,Zeuss-2016
Nymphalidae,Melitaea,trivia,,,,75.5,,-,Zeuss-2016
Nymphalidae,Mellicta,asteria,,,,29,,-,Zeuss-2016
Nymphalidae,Mellicta,athalia,,,,68.6,,-,Zeuss-2016
Nymphalidae,Mellicta,aurelia,,,,47.4,,-,Zeuss-2016
Nymphalidae,Mellicta,britomartis,,,,39.4,,-,Zeuss-2016
Nymphalidae,Mellicta,deione,,,,86,,-,Zeuss-2016
Nymphalidae,Mellicta,parthenoides,,,,52.9,,-,Zeuss-2016
Nymphalidae,Mellicta,varia,,,,56.6,,-,Zeuss-2016
Nymphalidae,Polygonia,c-album,,,,142.5,,-,Zeuss-2016
Nymphalidae,Polygonia,egea,,,,123.1,,-,Zeuss-2016
Nymphalidae,Proclossiana,eunomia,,,,68.7,,-,Zeuss-2016
Papilionidae,Archon,apollinus,,,,150.2,,-,Zeuss-2016
Papilionidae,Papilio,alexanor,,,,446.6,,-,Zeuss-2016
Papilionidae,Parnassius,apollo,,,,434.8,,-,Zeuss-2016
Papilionidae,Parnassius,mnemosyne,,,,109.1,,-,Zeuss-2016
Papilionidae,Parnassius,phoebus,,,,376.4,,-,Zeuss-2016
Papilionidae,Zerynthia,cerisy,,,,112.5,,-,Zeuss-2016
Papilionidae,Zerynthia,polyxena,,,,134.9,,-,Zeuss-2016
Papilionidae,Zerynthia,rumina,,,,100.2,,-,Zeuss-2016
Pieridae,Anthocharis,belia,,,,63.1,,-,Zeuss-2016
Pieridae,Anthocharis,cardamines,,,,86.9,,-,Zeuss-2016
Pieridae,Anthocharis,damone,,,,57.4,,-,Zeuss-2016
Pieridae,Anthocharis,gruneri,,,,23.6,,-,Zeuss-2016
Pieridae,Aporia,crataegi,,,,167.3,,-,Zeuss-2016
Pieridae,Artogeia,bryoniae,,,,52.8,,-,Zeuss-2016
Pieridae,Artogeia,ergane,,,,36.8,,-,Zeuss-2016
Pieridae,Artogeia,krueperi,,,,74.6,,-,Zeuss-2016
Pieridae,Artogeia,mannii,,,,42.3,,-,Zeuss-2016
Pieridae,Artogeia,napi,,,,45.1,,-,Zeuss-2016
Pieridae,Artogeia,rapae,,,,52.8,,-,Zeuss-2016
Pieridae,Colias,alfacariensis,,,,125,,-,Zeuss-2016
Pieridae,Colias,aurorina,,,,156.7,,-,Zeuss-2016
Pieridae,Colias,caucasia,,,,103,,-,Zeuss-2016
Pieridae,Colias,chrysotheme,,,,59.7,,-,Zeuss-2016
Pieridae,Colias,crocea,,,,89.5,,-,Zeuss-2016
Pieridae,Colias,erate,,,,72.9,,-,Zeuss-2016
Pieridae,Colias,hecla,,,,75.2,,-,Zeuss-2016
Pieridae,Colias,hyale,,,,93,,-,Zeuss-2016
Pieridae,Colias,myrmidone,,,,82.9,,-,Zeuss-2016
Pieridae,Colias,nastes,,,,79.2,,-,Zeuss-2016
Pieridae,Colias,palaeno,,,,66.3,,-,Zeuss-2016
Pieridae,Colias,phicomone,,,,84.8,,-,Zeuss-2016
Pieridae,Colotis,evagore,,,,53.8,,-,Zeuss-2016
Pieridae,Euchloe,ausonia,,,,61.8,,-,Zeuss-2016
Pieridae,Euchloe,belemia,,,,79.3,,-,Zeuss-2016
Pieridae,Gonepteryx,cleopatra,,,,109.4,,-,Zeuss-2016
Pieridae,Gonepteryx,farinosa,,,,213.9,,-,Zeuss-2016
Pieridae,Gonepteryx,rhamni,,,,112.1,,-,Zeuss-2016
Pieridae,Leptidea,duponcheli,,,,19.2,,-,Zeuss-2016
Pieridae,Leptidea,morsei,,,,22.2,,-,Zeuss-2016
Pieridae,Leptidea,sinapis,,,,25,,-,Zeuss-2016
Pieridae,Pieris,brassicae,,,,82.2,,-,Zeuss-2016
Pieridae,Pontia,callidice,,,,66.4,,-,Zeuss-2016
Pieridae,Pontia,chloridice,,,,33.2,,-,Zeuss-2016
Pieridae,Pontia,daplidice,,,,83.7,,-,Zeuss-2016
Pieridae,Zegris,eupheme,,,,103.6,,-,Zeuss-2016
Satyridae,Aphantopus,hyperantus,,,,37.5,,-,Zeuss-2016
Satyridae,Arethusana,arethusa,,,,85,,-,Zeuss-2016
Satyridae,Chazara,briseis,,,,159.8,,-,Zeuss-2016
Satyridae,Chazara,prieuri,,,,133.3,,-,Zeuss-2016
Satyridae,Coenonympha,arcania,,,,32.1,,-,Zeuss-2016
Satyridae,Coenonympha,corinna,,,,20.1,,-,Zeuss-2016
Satyridae,Coenonympha,dorus,,,,24.8,,-,Zeuss-2016
Satyridae,Coenonympha,gardetta,,,,37.9,,-,Zeuss-2016
Satyridae,Coenonympha,glycerion,,,,35.8,,-,Zeuss-2016
Satyridae,Coenonympha,hero,,,,26.8,,-,Zeuss-2016
Satyridae,Coenonympha,leander,,,,37.8,,-,Zeuss-2016
Satyridae,Coenonympha,oedippus,,,,62.5,,-,Zeuss-2016
Satyridae,Coenonympha,pamphilus,,,,19.1,,-,Zeuss-2016
Satyridae,Coenonympha,rhodopensis,,,,47.5,,-,Zeuss-2016
Satyridae,Coenonympha,tullia,,,,29.4,,-,Zeuss-2016
Satyridae,Erebia,aethiopella,,,,48.5,,-,Zeuss-2016
Satyridae,Erebia,aethiops,,,,46.6,,-,Zeuss-2016
Satyridae,Erebia,alberganus,,,,80.1,,-,Zeuss-2016
Satyridae,Erebia,calcaria,,,,56.7,,-,Zeuss-2016
Satyridae,Erebia,cassioides,,,,56.2,,-,Zeuss-2016
Satyridae,Erebia,christi,,,,43.7,,-,Zeuss-2016
Satyridae,Erebia,claudina,,,,42.7,,-,Zeuss-2016
Satyridae,Erebia,disa,,,,104,,-,Zeuss-2016
Satyridae,Erebia,embla,,,,65.6,,-,Zeuss-2016
Satyridae,Erebia,epiphron,,,,43.6,,-,Zeuss-2016
Satyridae,Erebia,epistygne,,,,65.1,,-,Zeuss-2016
Satyridae,Erebia,eriphyle,,,,53.3,,-,Zeuss-2016
Satyridae,Erebia,euryale,,,,59.8,,-,Zeuss-2016
Satyridae,Erebia,flavofasciata,,,,43.7,,-,Zeuss-2016
Satyridae,Erebia,gorge,,,,54.8,,-,Zeuss-2016
Satyridae,Erebia,gorgone,,,,65.6,,-,Zeuss-2016
Satyridae,Erebia,hispania,,,,65.7,,-,Zeuss-2016
Satyridae,Erebia,lefebvrei,,,,70.1,,-,Zeuss-2016
Satyridae,Erebia,ligea,,,,64,,-,Zeuss-2016
Satyridae,Erebia,manto,,,,59.5,,-,Zeuss-2016
Satyridae,Erebia,medusa,,,,56.4,,-,Zeuss-2016
Satyridae,Erebia,melampus,,,,35.3,,-,Zeuss-2016
Satyridae,Erebia,melas,,,,83.9,,-,Zeuss-2016
Satyridae,Erebia,meolans,,,,48.3,,-,Zeuss-2016
Satyridae,Erebia,mnestra,,,,53,,-,Zeuss-2016
Satyridae,Erebia,montana,,,,67.4,,-,Zeuss-2016
Satyridae,Erebia,neoridas,,,,59.2,,-,Zeuss-2016
Satyridae,Erebia,nivalis,,,,47.9,,-,Zeuss-2016
Satyridae,Erebia,oeme,,,,83.9,,-,Zeuss-2016
Satyridae,Erebia,orientalis,,,,42.4,,-,Zeuss-2016
Satyridae,Erebia,ottomana,,,,64.6,,-,Zeuss-2016
Satyridae,Erebia,palarica,,,,98.5,,-,Zeuss-2016
Satyridae,Erebia,pandrose,,,,54.8,,-,Zeuss-2016
Satyridae,Erebia,pharte,,,,42.5,,-,Zeuss-2016
Satyridae,Erebia,pluto,,,,95.8,,-,Zeuss-2016
Satyridae,Erebia,polaris,,,,48.8,,-,Zeuss-2016
Satyridae,Erebia,pronoe,,,,70.6,,-,Zeuss-2016
Satyridae,Erebia,rhodopensis,,,,55.2,,-,Zeuss-2016
Satyridae,Erebia,scipio,,,,89.2,,-,Zeuss-2016
Satyridae,Erebia,sthennyo,,,,69.2,,-,Zeuss-2016
Satyridae,Erebia,stirius,,,,93.2,,-,Zeuss-2016
Satyridae,Erebia,styx,,,,113.6,,-,Zeuss-2016
Satyridae,Erebia,sudetica,,,,36,,-,Zeuss-2016
Satyridae,Erebia,triaria,,,,75.8,,-,Zeuss-2016
Satyridae,Erebia,tyndarus,,,,47.5,,-,Zeuss-2016
Satyridae,Erebia,zapateri,,,,50.6,,-,Zeuss-2016
Satyridae,Hipparchia,alcyone,,,,116.5,,-,Zeuss-2016
Satyridae,Hipparchia,aristaeus,,,,101.3,,-,Zeuss-2016
Satyridae,Hipparchia,fagi,,,,181.1,,-,Zeuss-2016
Satyridae,Hipparchia,semele,,,,101,,-,Zeuss-2016
Satyridae,Hipparchia,syriaca,,,,157.1,,-,Zeuss-2016
Satyridae,Hipparchia,volgenis,,,,152.2,,-,Zeuss-2016
Satyridae,Hyponephele,lupina,,,,60.3,,-,Zeuss-2016
Satyridae,Hyponephele,lycaon,,,,62,,-,Zeuss-2016
Satyridae,Kanetisa,circe,,,,199.2,,-,Zeuss-2016
Satyridae,Kirinia,climene,,,,88.1,,-,Zeuss-2016
Satyridae,Kirinia,roxelana,,,,113.1,,-,Zeuss-2016
Satyridae,Lasiommata,maera,,,,98.6,,-,Zeuss-2016
Satyridae,Lasiommata,megera,,,,63.8,,-,Zeuss-2016
Satyridae,Lasiommata,petropolitana,,,,50.9,,-,Zeuss-2016
Satyridae,Lopinga,achine,,,,82.3,,-,Zeuss-2016
Satyridae,Maniola,jurtina,,,,75,,-,Zeuss-2016
Satyridae,Melanargia,arge,,,,77.2,,-,Zeuss-2016
Satyridae,Melanargia,galathea,,,,69,,-,Zeuss-2016
Satyridae,Melanargia,ines,,,,96.9,,-,Zeuss-2016
Satyridae,Melanargia,lachesis,,,,68.9,,-,Zeuss-2016
Satyridae,Melanargia,larissa,,,,120.3,,-,Zeuss-2016
Satyridae,Melanargia,occitanica,,,,135,,-,Zeuss-2016
Satyridae,Melanargia,russiae,,,,125.9,,-,Zeuss-2016
Satyridae,Neohipparchia,fatua,,,,164.4,,-,Zeuss-2016
Satyridae,Neohipparchia,statilinus,,,,132.4,,-,Zeuss-2016
Satyridae,Oeneis,bore,,,,55.7,,-,Zeuss-2016
Satyridae,Oeneis,glacialis,,,,117.7,,-,Zeuss-2016
Satyridae,Oeneis,jutta,,,,86.7,,-,Zeuss-2016
Satyridae,Oeneis,norna,,,,66.8,,-,Zeuss-2016
Satyridae,Pararge,aegeria,,,,37.6,,-,Zeuss-2016
Satyridae,Proterebia,afra,,,,69.7,,-,Zeuss-2016
Satyridae,Pseudochazara,anthelea,,,,129.8,,-,Zeuss-2016
Satyridae,Pseudochazara,cingovskii,,,,112.4,,-,Zeuss-2016
Satyridae,Pseudochazara,geyeri,,,,80.7,,-,Zeuss-2016
Satyridae,Pseudochazara,graeca,,,,57.4,,-,Zeuss-2016
Satyridae,Pseudochazara,mniszechii,,,,105.3,,-,Zeuss-2016
Satyridae,Pseudochazara,orestes,,,,135.7,,-,Zeuss-2016
Satyridae,Pseudotergumia,fidia,,,,79.4,,-,Zeuss-2016
Satyridae,Pyronia,bathseba,,,,59.4,,-,Zeuss-2016
Satyridae,Pyronia,cecilia,,,,48.5,,-,Zeuss-2016
Satyridae,Pyronia,tithonus,,,,32.8,,-,Zeuss-2016
Satyridae,Satyrus,actaea,,,,64.4,,-,Zeuss-2016
Satyridae,Satyrus,ferula,,,,170.8,,-,Zeuss-2016
,Abisara,echerius,33.7,,,,,-,Zing-2018
,Abisara,fylla,39.7,,,,,-,Zing-2018
,Abisara,fylloides,35.7,,,,,-,Zing-2018
,Abisara,neophron,39,,,,,-,Zing-2018
,Abisara,saturata,35.5,,,,,-,Zing-2018
,Acytolepis,puspa,24.1,,,,,-,Zing-2018
,Aemona,amathusia,58.9,,,,,-,Zing-2018
,Ampittia,virgata,27.2,,,,,-,Zing-2018
,Appias,lyncida,56.9,,,,,-,Zing-2018
,Argynnis,hyperbius,70.6,,,,,-,Zing-2018
,Argynnis,paphia,66.3,,,,,-,Zing-2018
,Arhopala,bazalus,36.7,,,,,-,Zing-2018
,Athyma,cama,55,,,,,-,Zing-2018
,Athyma,nefte,51.2,,,,,-,Zing-2018
,Athyma,perius,59.6,,,,,-,Zing-2018
,Athyma,pravara,45,,,,,-,Zing-2018
,Athyma,selenophora,57.1,,,,,-,Zing-2018
,Athyma,zeroca,48.5,,,,,-,Zing-2018
,Atrophaneura,varuna,92,,,,,-,Zing-2018
,Bhagadatta,austenia,63.7,,,,,-,Zing-2018
,Caleta,elna,23.1,,,,,-,Zing-2018
,Caleta,roxus,21.1,,,,,-,Zing-2018
,Caltoris,cahira,35.1,,,,,-,Zing-2018
,Catopsilia,pomona,56.1,,,,,-,Zing-2018
,Catopsilia,pyranthe,NA,,,,,-,Zing-2018
,Celaenorrhinus,aurivittatus,33.8,,,,,-,Zing-2018
,Celaenorrhinus,leucocera,37.7,,,,,-,Zing-2018
,Celaenorrhinus,pero,43.2,,,,,-,Zing-2018
,Celastrina,lavendularis,28.2,,,,,-,Zing-2018
,Cethosia,biblis,68.3,,,,,-,Zing-2018
,Cethosia,cyane,75.4,,,,,-,Zing-2018
,Charaxes,bernardus,69.2,,,,,-,Zing-2018
,Chersonesia,risa,28.9,,,,,-,Zing-2018
,Childrena,childreni,78.8,,,,,-,Zing-2018
,Choaspes,benjaminii,49.1,,,,,-,Zing-2018
,Coladenia,agnioides,28.9,,,,,-,Zing-2018
,Cupha,erymanthis,47.7,,,,,-,Zing-2018
,Cyrestis,thyodamas,43.6,,,,,-,Zing-2018
,Damora,sagana,68.9,,,,,-,Zing-2018
,Delias,pasithoe,61.2,,,,,-,Zing-2018
,Dercas,verhuelli,57,,,,,-,Zing-2018
,Deudorix,epijarbas,25.8,,,,,-,Zing-2018
,Dichorragia,nesimachus,60.5,,,,,-,Zing-2018
,Discophora,sondaica,63,,,,,-,Zing-2018
,Elymnias,hypermnestra,52.1,,,,,-,Zing-2018
,Enispe,duranius,72.7,,,,,-,Zing-2018
,Erites,falcipennis,38.2,,,,,-,Zing-2018
,Euploea,midamus,82.4,,,,,-,Zing-2018
,Euploea,mulciber,70.9,,,,,-,Zing-2018
,Eurema,blanda,37.9,,,,,-,Zing-2018
,Eurema,hecabe,36.8,,,,,-,Zing-2018
,Eurema,laeta,40.2,,,,,-,Zing-2018
,Euthalia,aconthea,52,,,,,-,Zing-2018
,Euthalia,anosia,63.8,,,,,-,Zing-2018
,Euthalia,lepidea,NA,,,,,-,Zing-2018
,Euthalia,lubentina,NA,,,,,-,Zing-2018
,Euthalia,phemius,NA,,,,,-,Zing-2018
,Euthalia,pratti,NA,,,,,-,Zing-2018
,Euthalia,thibetana,NA,,,,,-,Zing-2018
,Faunis,canens,58.9,,,,,-,Zing-2018
,Faunis,eumeus,54.8,,,,,-,Zing-2018
,Gandaca,harina,37.5,,,,,-,Zing-2018
,Gerosis,sinica,31.6,,,,,-,Zing-2018
,Graphium,agamemnon,74.6,,,,,-,Zing-2018
,Graphium,chironides,71.4,,,,,-,Zing-2018
,Graphium,sarpedon,64.4,,,,,-,Zing-2018
,Halpe,kusala,25.7,,,,,-,Zing-2018
,Hasora,anura,46.3,,,,,-,Zing-2018
,Hebomoia,glaucippe,84.1,,,,,-,Zing-2018
,Helcyra,superba,75.7,,,,,-,Zing-2018
,Heliophorus,ila,28.1,,,,,-,Zing-2018
,Herona,marathus,68.1,,,,,-,Zing-2018
,Hyarotis,adrastus,35.1,,,,,-,Zing-2018
,Hypolycaena,erylus,NA,,,,,-,Zing-2018
,Iambrix,salsala,24.6,,,,,-,Zing-2018
,Ideopsis,similis,69.1,,,,,-,Zing-2018
,Isoteinon,iamprospilus,35.4,,,,,-,Zing-2018
,Ixias,pyrene,56.8,,,,,-,Zing-2018
,Jamides,alecto,28.2,,,,,-,Zing-2018
,Jamides,bochus,28.3,,,,,-,Zing-2018
,Jamides,celeno,26.4,,,,,-,Zing-2018
,Junonia,iphita,NA,,,,,-,Zing-2018
,Junonia,lemonias,49.3,,,,,-,Zing-2018
,Junonia,orithya,37.5,,,,,-,Zing-2018
,Kaniska,canace,56.6,,,,,-,Zing-2018
,Koruthaialos,rubecula,23.7,,,,,-,Zing-2018
,Koruthaialos,sindu,30.6,,,,,-,Zing-2018
,Lampides,boeticus,29.7,,,,,-,Zing-2018
,Lamproptera,curius,32.6,,,,,-,Zing-2018
,Lethe,chandica,52.8,,,,,-,Zing-2018
,Lethe,confusa,43,,,,,-,Zing-2018
,Lethe,dura,56.6,,,,,-,Zing-2018
,Lethe,helena,56.4,,,,,-,Zing-2018
,Lethe,lanaris,55.3,,,,,-,Zing-2018
,Lethe,procne,45.9,,,,,-,Zing-2018
,Lethe,rohria,NA,,,,,-,Zing-2018
,Lethe,satyrina,50.4,,,,,-,Zing-2018
,Lethe,siderea,48.2,,,,,-,Zing-2018
,Lethe,syrcis,52.7,,,,,-,Zing-2018
,Lethe,violaceopicta,44.5,,,,,-,Zing-2018
,Lexias,dirtea,82.4,,,,,-,Zing-2018
,Libythea,celtis,48.9,,,,,-,Zing-2018
,Loxura,atymnus,32.3,,,,,-,Zing-2018
,Mandarinia,regalis,NA,,,,,-,Zing-2018
,Megisba,malaya,16.7,,,,,-,Zing-2018
,Melanitis,leda,57.9,,,,,-,Zing-2018
,Melanitis,phedima,59.1,,,,,-,Zing-2018
,Melanitis,zitenius,58.7,,,,,-,Zing-2018
,Miletus,archilochus,52,,,,,-,Zing-2018
,Mooreana,trichoneura,30.1,,,,,-,Zing-2018
,Mycalesis,anaxias,40.9,,,,,-,Zing-2018
,Mycalesis,francisca,43.8,,,,,-,Zing-2018
,Mycalesis,gotama,35.6,,,,,-,Zing-2018
,Mycalesis,mamerta,41.9,,,,,-,Zing-2018
,Mycalesis,mineus,39.2,,,,,-,Zing-2018
,Mycalesis,zonata,37.8,,,,,-,Zing-2018
,Nacaduba,kurava,27.1,,,,,-,Zing-2018
,Neope,muirheadii,60.8,,,,,-,Zing-2018
,Neptis,clinia,40.6,,,,,-,Zing-2018
,Neptis,miah,43.5,,,,,-,Zing-2018
,Neptis,soma,48.4,,,,,-,Zing-2018
,Notocrypta,curvifascia,38.1,,,,,-,Zing-2018
,Notocrypta,paralysos,32.9,,,,,-,Zing-2018
,Ochus,subvittatus,19.2,,,,,-,Zing-2018
,Odina,decoratus,25.6,,,,,-,Zing-2018
,Pantoporia,hordonia,38,,,,,-,Zing-2018
,Papilio,arcturus,95.6,,,,,-,Zing-2018
,Papilio,bianor,85.1,,,,,-,Zing-2018
,Papilio,helenus,104.4,,,,,-,Zing-2018
,Papilio,memnon,109.1,,,,,-,Zing-2018
,Papilio,nephelus,104.4,,,,,-,Zing-2018
,Papilio,paris,89.7,,,,,-,Zing-2018
,Papilio,polytes,72.3,,,,,-,Zing-2018
,Papilio,protenor,89.4,,,,,-,Zing-2018
,Paralaxita,dora,34.2,,,,,-,Zing-2018
,Parantica,aglea,68.1,,,,,-,Zing-2018
,Parantica,melaneus,71.4,,,,,-,Zing-2018
,Parantica,sita,88.6,,,,,-,Zing-2018
,Parasarpa,dudu,64.1,,,,,-,Zing-2018
,Pareronia,anais,NA,,,,,-,Zing-2018
,Parthenos,sylvia,74.3,,,,,-,Zing-2018
,Penthema,darlisa,106.7,,,,,-,Zing-2018
,Phaedyma,columella,63.8,,,,,-,Zing-2018
,Polytremis,theca,35.3,,,,,-,Zing-2018
,Polyura,athamas,51.9,,,,,-,Zing-2018
,Potanthus,lydia,25.4,,,,,-,Zing-2018
,Potanthus,trachala,20,,,,,-,Zing-2018
,Prosotas,dubiosa,17.3,,,,,-,Zing-2018
,Prosotas,nora,21.2,,,,,-,Zing-2018
,Pseudozizeeria,maha,23.4,,,,,-,Zing-2018
,Rhaphicera,dumicola,48.9,,,,,-,Zing-2018
,Sinthusa,chandrana,23.3,,,,,-,Zing-2018
,Spindasis,lohita,NA,,,,,-,Zing-2018
,Stibochiona,nicea,54.1,,,,,-,Zing-2018
,Stichophthalma,louisa,114.9,,,,,-,Zing-2018
,Sumalia,daraxa,30.5,,,,,-,Zing-2018
,Symbrenthia,hypselis,37.4,,,,,-,Zing-2018
,Symbrenthia,lilaea,42.9,,,,,-,Zing-2018
,Tagiades,litigiosa,33.8,,,,,-,Zing-2018
,Tagiades,menaka,34.8,,,,,-,Zing-2018
,Talbotia,naganum,54.5,,,,,-,Zing-2018
,Taraka,hamada,21,,,,,-,Zing-2018
,Thaumantis,diores,79.5,,,,,-,Zing-2018
,Thauria,lathyi,95.5,,,,,-,Zing-2018
,Tongeia,filicaudis,22.8,,,,,-,Zing-2018
,Tongeia,potanini,20.5,,,,,-,Zing-2018
,Troides,helena,116.8,,,,,-,Zing-2018
,Udara,albocaerulea,27.7,,,,,-,Zing-2018
,Udara,dilecta,25.6,,,,,-,Zing-2018
,Vagrans,egista,20.6,,,,,-,Zing-2018
,Vanessa,cardui,53.9,,,,,-,Zing-2018
,Vanessa,indica,56.7,,,,,-,Zing-2018
,Vindula,erota,76.3,,,,,-,Zing-2018
,Yasoda,tripunctata,25.1,,,,,-,Zing-2018
,Ypthima,baldus,31.7,,,,,-,Zing-2018
,Ypthima,chinensis,33.6,,,,,-,Zing-2018
,Ypthima,conjuncta,34,,,,,-,Zing-2018
,Ypthima,esakii,36.4,,,,,-,Zing-2018
,Ypthima,motschulskyi,32,,,,,-,Zing-2018
,Ypthima,praenubila,45.2,,,,,-,Zing-2018
,Zeltus,amasa,NA,,,,,-,Zing-2018
,Zemeros,flegyas,29.4,,,,,-,Zing-2018
,Zinaspa,todara,27.2,,,,,-,Zing-2018
,Zipaetis,unipupillata,45.2,,,,,-,Zing-2018
Noctuidae,Phlogophora,meticulosa,50,,,,0,-,Slade-2013
Geometridae,Ennomos,quercinaria,38,,,,1,-,Slade-2013
Noctuidae,Autographa,pulchrina,40,,,,0,-,Slade-2013
Noctuidae,Laspeyria,flexula,30,,,,1,-,Slade-2013
Lymantriidae,Lymantria,monacha,44,,,,1,-,Slade-2013
Geometridae,Timandra,comae,33,,,,1,-,Slade-2013
Geometridae,Plemyria,rubiginata,28,,,,1,-,Slade-2013
Noctuidae,Lacanobia,oleracea,38,,,,0,-,Slade-2013
Geometridae,Opisthograptis,luteolata,35,,,,1,-,Slade-2013
Noctuidae,Noctua,fimbriata,60,,,,0,-,Slade-2013
Noctuidae,Rusina,ferruginea,38,,,,0,-,Slade-2013
Thyatiridae,Habrosyne,pyritoides,40,,,,1,-,Slade-2013
Arctiidae,Spilosoma,luteum,40,,,,0,-,Slade-2013
Arctiidae,Eilema,depressa,35,,,,1,-,Slade-2013
Notodontidae,Phalera,bucephala,50,,,,0,-,Slade-2013
Noctuidae,Diachrysia,chrysitis,40,,,,1,-,Slade-2013
Noctuidae,Mythimna,ferrago,38,,,,1,-,Slade-2013
Geometridae,Lomaspilis,marginata,27,,,,1,-,Slade-2013
Noctuidae,Apamea,epomidion,40,,,,1,-,Slade-2013
Geometridae,Lomographa,temerata,28,,,,0,-,Slade-2013
Noctuidae,Apamea,crenata,42,,,,1,-,Slade-2013
Geometridae,Hemithea,aestivaria,30,,,,0,-,Slade-2013
Arctiidae,Eilema,lurideola,32,,,,1,-,Slade-2013
Hepialidae,Hepialus,lupulinus,30,,,,1,-,Slade-2013
Noctuidae,Craniophora,ligustri,37,,,,1,-,Slade-2013
Noctuidae,Apamea,monoglypha,50,,,,1,-,Slade-2013
Arctiidae,Eilema,griseola,35,,,,1,-,Slade-2013
Noctuidae,Melanchra,persicariae,40,,,,0,-,Slade-2013
Noctuidae,Xestia,triangulum,42,,,,0,-,Slade-2013
Lasiocampidae,Euthrix,potatoria,55,,,,1,-,Slade-2013
Noctuidae,Cosmia,trapezina,34,,,,0,-,Slade-2013
Geometridae,Selenia,dentaria,43,,,,0,-,Slade-2013
Sphingidae,Deilephila,elpenor,65,,,,1,-,Slade-2013
Sphingidae,Smerinthus,ocellata,80,,,,1,-,Slade-2013
Thyatiridae,Tethea,ocularis,38,,,,1,-,Slade-2013
Noctuidae,Axylia,putris,34,,,,0,-,Slade-2013
Noctuidae,Ochropleura,plecta,30,,,,0,-,Slade-2013
Arctiidae,Arctia,caja,70,,,,0,-,Slade-2013
Hepialidae,Hepialus,hecta,32,,,,1,-,Slade-2013
Noctuidae,Anaplectoides,prasina,48,,,,0,-,Slade-2013
Noctuidae,Pseudoips,prasinana,36,,,,0,-,Slade-2013
Noctuidae,Agrotis,exclamationis,38,,,,0,-,Slade-2013
Noctuidae,Scoliopteryx,libatrix,46,,,,1,-,Slade-2013
Noctuidae,Diarsia,mendica,35,,,,0,-,Slade-2013
Geometridae,Hydriomena,furcata,32,,,,0,-,Slade-2013
Lasiocampidae,Malacosoma,neustria,32,,,,0,-,Slade-2013
