Family,Genus,Species,wingspan(mm),wingspan-male(mm),wingspan-female(mm),bodyVolume(mm3),hostType,num.Host.Plant.genera,Source
Geometridae,Euchoeca,nebulata,,,,13,,-,Zeuss-2016
Geometridae,Eucrostes,indigenata,,,,10.5,,-,Zeuss-2016
Geometridae,Eulithis,mellinata,,,,21.5,,-,Zeuss-2016
Geometridae,Eulithis,peloponnesiaca,,,,15,,-,Zeuss-2016
Geometridae,Eulithis,populata,,,,23.5,,-,Zeuss-2016
Geometridae,Eulithis,prunata,,,,50.7,,-,Zeuss-2016
Geometridae,Eulithis,pyropata,,,,55.9,,-,Zeuss-2016
Geometridae,Eulithis,testata,,,,38,,-,Zeuss-2016
Geometridae,Euphyia,adumbraria,,,,19.5,,-,Zeuss-2016
Geometridae,Euphyia,biangulata,,,,32.7,,-,Zeuss-2016
Geometridae,Euphyia,mesembrina,,,,30.7,,-,Zeuss-2016
Geometridae,Euphyia,unangulata,,,,21.3,,-,Zeuss-2016
Geometridae,Eupithecia,abbreviata,,,,19.3,,-,Zeuss-2016
Geometridae,Eupithecia,abietaria,,,,28.3,,-,Zeuss-2016
Geometridae,Eupithecia,absinthiata,,,,22.3,,-,Zeuss-2016
Geometridae,Eupithecia,actaeata,,,,29.2,,-,Zeuss-2016
Geometridae,Eupithecia,addictata,,,,12,,-,Zeuss-2016
Geometridae,Eupithecia,alliaria,,,,21.9,,-,Zeuss-2016
Geometridae,Eupithecia,analoga,,,,15.4,,-,Zeuss-2016
Geometridae,Eupithecia,antalica,,,,9.4,,-,Zeuss-2016
Geometridae,Eupithecia,assimilata,,,,17.8,,-,Zeuss-2016
Geometridae,Eupithecia,biornata,,,,28.5,,-,Zeuss-2016
Geometridae,Eupithecia,breviculata,,,,17,,-,Zeuss-2016
Geometridae,Eupithecia,cauchiata,,,,26.9,,-,Zeuss-2016
Geometridae,Eupithecia,centaureata,,,,25.4,,-,Zeuss-2016
Geometridae,Eupithecia,cerussaria,,,,16.4,,-,Zeuss-2016
Geometridae,Eupithecia,chalikophila,,,,17.9,,-,Zeuss-2016
Geometridae,Eupithecia,cocciferata,,,,19.8,,-,Zeuss-2016
Geometridae,Eupithecia,conterminata,,,,9.1,,-,Zeuss-2016
Geometridae,Eupithecia,cooptata,,,,25.7,,-,Zeuss-2016
Geometridae,Eupithecia,cuculliaria,,,,13,,-,Zeuss-2016
Geometridae,Eupithecia,denotata,,,,23.3,,-,Zeuss-2016
Geometridae,Eupithecia,denticulata,,,,24.5,,-,Zeuss-2016
Geometridae,Eupithecia,dissertata,,,,25.8,,-,Zeuss-2016
Geometridae,Eupithecia,distinctaria,,,,13.2,,-,Zeuss-2016
Geometridae,Eupithecia,dodoneata,,,,13.3,,-,Zeuss-2016
Geometridae,Eupithecia,druentiata,,,,26.1,,-,Zeuss-2016
Geometridae,Eupithecia,egenaria,,,,24.9,,-,Zeuss-2016
Geometridae,Eupithecia,ericeata,,,,11.3,,-,Zeuss-2016
Geometridae,Eupithecia,exiguata,,,,23.5,,-,Zeuss-2016
Geometridae,Eupithecia,expallidata,,,,32.2,,-,Zeuss-2016
Geometridae,Eupithecia,extensaria,,,,43.1,,-,Zeuss-2016
Geometridae,Eupithecia,extraversaria,,,,16.3,,-,Zeuss-2016
Geometridae,Eupithecia,extremata,,,,14.6,,-,Zeuss-2016
Geometridae,Eupithecia,fennoscandica,,,,7.4,,-,Zeuss-2016
Geometridae,Eupithecia,fuscicostata,,,,14,,-,Zeuss-2016
Geometridae,Eupithecia,gemellata,,,,18.2,,-,Zeuss-2016
Geometridae,Eupithecia,graphata,,,,15.8,,-,Zeuss-2016
Geometridae,Eupithecia,gratiosata,,,,53.4,,-,Zeuss-2016
Geometridae,Eupithecia,groenblomi,,,,19.1,,-,Zeuss-2016
Geometridae,Eupithecia,gueneata,,,,28.4,,-,Zeuss-2016
Geometridae,Eupithecia,haworthiata,,,,8.7,,-,Zeuss-2016
Geometridae,Eupithecia,immundata,,,,18.2,,-,Zeuss-2016
Geometridae,Eupithecia,impurata,,,,26.5,,-,Zeuss-2016
Geometridae,Eupithecia,indigata,,,,13,,-,Zeuss-2016
Geometridae,Eupithecia,innotata,,,,19.2,,-,Zeuss-2016
Geometridae,Eupithecia,insigniata,,,,20.5,,-,Zeuss-2016
Geometridae,Eupithecia,inturbata,,,,13.2,,-,Zeuss-2016
Geometridae,Eupithecia,irriguata,,,,12,,-,Zeuss-2016
Geometridae,Eupithecia,lanceata,,,,12.4,,-,Zeuss-2016
Geometridae,Eupithecia,laquaearia,,,,14,,-,Zeuss-2016
Geometridae,Eupithecia,lariciata,,,,19.1,,-,Zeuss-2016
Geometridae,Eupithecia,liguriata,,,,11.2,,-,Zeuss-2016
Geometridae,Eupithecia,limbata,,,,12.4,,-,Zeuss-2016
Geometridae,Eupithecia,linariata,,,,18.9,,-,Zeuss-2016
Geometridae,Eupithecia,massiliata,,,,13.5,,-,Zeuss-2016
Geometridae,Eupithecia,millefoliata,,,,32,,-,Zeuss-2016
Geometridae,Eupithecia,minusculata,,,,10.6,,-,Zeuss-2016
Geometridae,Eupithecia,mystica,,,,21.8,,-,Zeuss-2016
Geometridae,Eupithecia,nanata,,,,15.8,,-,Zeuss-2016
Geometridae,Eupithecia,ochridata,,,,31.2,,-,Zeuss-2016
Geometridae,Eupithecia,orana,,,,13.6,,-,Zeuss-2016
Geometridae,Eupithecia,orphnata,,,,18.9,,-,Zeuss-2016
Geometridae,Eupithecia,oxycedrata,,,,13.3,,-,Zeuss-2016
Geometridae,Eupithecia,pauxillaria,,,,18.9,,-,Zeuss-2016
Geometridae,Eupithecia,pernotata,,,,25.6,,-,Zeuss-2016
Geometridae,Eupithecia,phoeniceata,,,,20.5,,-,Zeuss-2016
Geometridae,Eupithecia,pimpinellata,,,,24.1,,-,Zeuss-2016
Geometridae,Eupithecia,plumbeolata,,,,12.4,,-,Zeuss-2016
Geometridae,Eupithecia,praealta,,,,18,,-,Zeuss-2016
Geometridae,Eupithecia,pulchellata,,,,28,,-,Zeuss-2016
Geometridae,Eupithecia,pusillata,,,,17.8,,-,Zeuss-2016
Geometridae,Eupithecia,pygmaeata,,,,11.5,,-,Zeuss-2016
Geometridae,Eupithecia,pyreneata,,,,16.7,,-,Zeuss-2016
Geometridae,Eupithecia,quercetica,,,,18.9,,-,Zeuss-2016
Geometridae,Eupithecia,reisserata,,,,11.3,,-,Zeuss-2016
Geometridae,Eupithecia,riparia,,,,14.8,,-,Zeuss-2016
Geometridae,Eupithecia,rosmarinata,,,,14.9,,-,Zeuss-2016
Geometridae,Eupithecia,santolinata,,,,29.3,,-,Zeuss-2016
Geometridae,Eupithecia,satyrata,,,,24.9,,-,Zeuss-2016
Geometridae,Eupithecia,scalptata,,,,18.5,,-,Zeuss-2016
Geometridae,Eupithecia,schiefereri,,,,32.2,,-,Zeuss-2016
Geometridae,Eupithecia,scopariata,,,,14.3,,-,Zeuss-2016
Geometridae,Eupithecia,selinata,,,,18.1,,-,Zeuss-2016
Geometridae,Eupithecia,semigraphata,,,,22.8,,-,Zeuss-2016
Geometridae,Eupithecia,senorita,,,,11.6,,-,Zeuss-2016
Geometridae,Eupithecia,silenata,,,,13.7,,-,Zeuss-2016
Geometridae,Eupithecia,silenicolata,,,,25.5,,-,Zeuss-2016
Geometridae,Eupithecia,simpliciata,,,,36.8,,-,Zeuss-2016
Geometridae,Eupithecia,sinuosaria,,,,25.5,,-,Zeuss-2016
Geometridae,Eupithecia,spadiceata,,,,19.1,,-,Zeuss-2016
Geometridae,Eupithecia,spissilineata,,,,18,,-,Zeuss-2016
Geometridae,Eupithecia,subfuscata,,,,23.1,,-,Zeuss-2016
Geometridae,Eupithecia,subumbrata,,,,16.7,,-,Zeuss-2016
Geometridae,Eupithecia,succenturiata,,,,40.1,,-,Zeuss-2016
Geometridae,Eupithecia,sutiliata,,,,11.2,,-,Zeuss-2016
Geometridae,Eupithecia,tantillaria,,,,16.8,,-,Zeuss-2016
Geometridae,Eupithecia,tenuiata,,,,10.6,,-,Zeuss-2016
Geometridae,Eupithecia,thalictrata,,,,12.2,,-,Zeuss-2016
Geometridae,Eupithecia,thurnerata,,,,11.2,,-,Zeuss-2016
Geometridae,Eupithecia,tripunctaria,,,,18.9,,-,Zeuss-2016
Geometridae,Eupithecia,trisignaria,,,,20.1,,-,Zeuss-2016
Geometridae,Eupithecia,ultimaria,,,,12.5,,-,Zeuss-2016
Geometridae,Eupithecia,undata,,,,10.2,,-,Zeuss-2016
Geometridae,Eupithecia,unedonata,,,,19.2,,-,Zeuss-2016
Geometridae,Eupithecia,unitaria,,,,20.6,,-,Zeuss-2016
Geometridae,Eupithecia,valerianata,,,,11.8,,-,Zeuss-2016
Geometridae,Eupithecia,variostrigata,,,,27,,-,Zeuss-2016
Geometridae,Eupithecia,venosata,,,,31.9,,-,Zeuss-2016
Geometridae,Eupithecia,veratraria,,,,35.6,,-,Zeuss-2016
Geometridae,Eupithecia,virgaureata,,,,18.2,,-,Zeuss-2016
Geometridae,Eupithecia,vulgata,,,,13.7,,-,Zeuss-2016
Geometridae,Eupithecia,weissi,,,,25.8,,-,Zeuss-2016
Geometridae,Gagitodes,sagittata,,,,37.1,,-,Zeuss-2016
Geometridae,Gandaritis,pyraliata,,,,48,,-,Zeuss-2016
Geometridae,Geometra,papilionaria,,,,208,,-,Zeuss-2016
