	H	L
Nymphalidae_Charaxes_boueti	0	NA
Nymphalidae_Charaxes_protoclea	0	NA
Nymphalidae_Charaxes_hadrianus	1	NA
Nymphalidae_Charaxes_zingha	1	NA
Nymphalidae_Charaxes_congdoni	1	NA
Nymphalidae_Charaxes_marieps	1	NA
Nymphalidae_Charaxes_cacuthis	1	NA
Nymphalidae_Charaxes_kirki	1	NA
Nymphalidae_Charaxes_galawadiwosi	1	NA
Nymphalidae_Charaxes_plantroui	1	NA
Nymphalidae_Charaxes_virilis	1	NA
Nymphalidae_Charaxes_howarthi	1	NA
Nymphalidae_Charaxes_berkeleyi	0	NA
Nymphalidae_Charaxes_ethalion	0	NA
Nymphalidae_Charaxes_etheocles	0	NA
Nymphalidae_Charaxes_mafuga	1	NA
Nymphalidae_Charaxes_guderiana	1	NA
Nymphalidae_Charaxes_blanda	1	NA
Nymphalidae_Charaxes_penricei	0	NA
Nymphalidae_Charaxes_etesipe	0	NA
Nymphalidae_Charaxes_achaemenes	0	NA
Nymphalidae_Charaxes_jahlusa	0	NA
Nymphalidae_Charaxes_opinatus	1	NA
Nymphalidae_Charaxes_baumanni	1	NA
Nymphalidae_Charaxes_anticlea	1	NA
Nymphalidae_Charaxes_eupale	0	NA
Nymphalidae_Charaxes_dilutus	1	NA
Nymphalidae_Charaxes_montis	1	NA
Nymphalidae_Charaxes_subornatus	1	NA
Nymphalidae_Euxanthe_eurinome	0	NA
Nymphalidae_Euxanthe_crossleyi	1	NA
Nymphalidae_Euxanthe_tiberius	1	NA
Nymphalidae_Euxanthe_trajanus	0	NA
Nymphalidae_Charaxes_nichetes	1	NA
Nymphalidae_Polyura_athamas	1	NA
Nymphalidae_Polyura_moori	1	NA
Nymphalidae_Polyura_schreiber	0	NA
Nymphalidae_Charaxes_paphianus	1	NA
Nymphalidae_Charaxes_pleione	1	NA
Nymphalidae_Charaxes_zoolina	1	NA
Nymphalidae_Charaxes_lycurgus	0	NA
Nymphalidae_Charaxes_solon	1	NA
Nymphalidae_Polyura_narcaea	0	NA
Nymphalidae_Palla_violinitens	0	NA
Nymphalidae_Palla_ussheri	0	NA
Nymphalidae_Palla_decius	0	NA
Nymphalidae_Fountainea_ryphea	1	NA
Nymphalidae_Anaea_troglodyta	1	NA
Nymphalidae_Consul_fabius	0	NA
Nymphalidae_Zaretis_itys	0	NA
Nymphalidae_Siderone_galanthis	1	NA
Nymphalidae_Hypna_clytemnestra	1	NA
Nymphalidae_Agatasa_calydonia	1	NA
Nymphalidae_Prothoe_franck	1	NA
Nymphalidae_Anaea_andria	1	NA
Lycaenidae_Agrodiaetus_antidolus	1	NA
Lycaenidae_Agrodiaetus_hamadanensis	1	NA
Lycaenidae_Agrodiaetus_poseidon	1	NA
Lycaenidae_Agrodiaetus_firdussii	1	NA
Lycaenidae_Agrodiaetus_demavendi	1	NA
Lycaenidae_Agrodiaetus_ripartii	1	NA
Lycaenidae_Agrodiaetus_turcicus	1	NA
Lycaenidae_Agrodiaetus_dolus	1	NA
Lycaenidae_Agrodiaetus_damon	1	NA
Lycaenidae_Polyommatus_icarus	1	NA
Lycaenidae_Lysandra_syriaca	1	NA
Meleageria_daphnis	1	NA
Plebicula_dorylas	1	NA
Lycaenidae_Lysandra_bellargus	1	NA
Lycaenidae_Lysandra_coridon	1	NA
Lycaenidae_Aricia_eumedon	1	NA
Lycaenidae_Aricia_artaxerxes	0	NA
Lycaenidae_Aricia_agestis	0	NA
Lycaenidae_Aricia_nicias	1	NA
Lycaenidae_Lycaeides_melissa	0	NA
Lycaenidae_Lycaeides_argyrognomon	1	NA
Lycaenidae_Plebejus_argus	0	NA
Lycaenidae_Agriades_glandon	0	NA
Lycaenidae_Cyaniris_semiargus	0	NA
Lycaenidae_Albulina_orbitulus	1	NA
Lycaenidae_Plebejus_acmon	0	NA
Lycaenidae_Pseudolucia_collina	1	NA
Lycaenidae_Hemiargus_hanno	0	NA
Lycaenidae_Hemiargus_ceraunus	1	NA
Lycaenidae_Cyclargus_ammon	1	NA
Lycaenidae_Chilades_trochylus	1	NA
Lycaenidae_Chilades_pandava	0	NA
Lycaenidae_Chilades_lajus	0	NA
Lycaenidae_Cupido_minimus	1	NA
Lycaenidae_Tongeia_fischeri	0	NA
Lycaenidae_Talicada_nyseus	0	NA
Lycaenidae_Leptotes_marina	0	NA
Lycaenidae_Leptotes_trigemmatus	1	NA
Lycaenidae_Zizeeria_knysna	0	NA
Lycaenidae_Pseudozizeeria_maha	0	NA
Lycaenidae_Theclinesthes_albocincta	1	NA
Lycaenidae_Theclinesthes_hesperia	1	NA
Lycaenidae_Theclinesthes_miskini	1	NA
Lycaenidae_Theclinesthes_onycha	1	NA
Lycaenidae_Theclinesthes_sulpitius	1	NA
Lycaenidae_Zizina_otis	0	NA
Lycaenidae_Cacyreus_darius	1	NA
Lycaenidae_Maculinea_nausithous	1	NA
Lycaenidae_Maculinea_teleius	0	NA
Lycaenidae_Phengaris_daitozana	0	NA
Lycaenidae_Maculinea_arionides	0	NA
Lycaenidae_Maculinea_arion	1	NA
Lycaenidae_Maculinea_alcon	0	NA
Lycaenidae_Maculinea_rebeli	1	NA
Lycaenidae_Phengaris_atroguttata	1	NA
Lycaenidae_Pseudophilotes_vicrama	1	NA
Lycaenidae_Pseudophilotes_baton	0	NA
Lycaenidae_Pseudophilotes_panoptes	1	NA
Lycaenidae_Pseudophilotes_abencerragus	1	NA
Lycaenidae_Pseudophilotes_bavius	1	NA
Lycaenidae_Turanana_cytis	1	NA
Lycaenidae_Turanana_endymion	1	NA
Lycaenidae_Euphilotes_battoides	1	NA
Lycaenidae_Euphilotes_rita	1	NA
Lycaenidae_Euphilotes_enoptes	1	NA
Lycaenidae_Philotiella_speciosa	1	NA
Lycaenidae_Iolana_iolas	1	NA
Lycaenidae_Shijimiaeoides_divina	1	NA
Sinia_divina	1	NA
Lycaenidae_Glaucopsyche_lygdamus	1	NA
Lycaenidae_Glaucopsyche_lycormas	1	NA
Lycaenidae_Glaucopsyche_alexis	1	NA
Lycaenidae_Glaucopsyche_melanops	1	NA
Lycaenidae_Glaucopsyche_piasus	1	NA
Lycaenidae_Philotes_sonorensis	1	NA
Lycaenidae_Scolitantides_orion	1	NA
Lycaenidae_Lampides_boeticus	1	NA
Lycaenidae_Cacyreus_marshalli	1	NA
Lycaenidae_Phlyaria_cyara	1	NA
Lycaenidae_Uranothauma_falkensteini	1	NA
Lycaenidae_Actizera_lucida	0	NA
Lycaenidae_Leptotes_pirithous	0	NA
Lycaenidae_Udara_albocaerulea	1	NA
Lycaenidae_Acytolepis_puspa	0	NA
Lycaenidae_Celastrina_argiolus	0	NA
Lycaenidae_Neopithecops_zalmora	0	NA
Lycaenidae_Celastrina_oreas	0	NA
Lycaenidae_Eicochrysops_hippocrates	1	NA
Lycaenidae_Jamides_alecto	0	NA
Lycaenidae_Zizeeria_karsandra	0	NA
Lycaenidae_Catochrysops_panormus	1	NA
Lycaenidae_Castalius_rosimon	1	NA
Lycaenidae_Zintha_hintza	1	NA
Lycaenidae_Caleta_elna	1	NA
Lycaenidae_Psychonotis_caelius	1	NA
Lycaenidae_Jamides_bochus	0	NA
Lycaenidae_Euchrysops_cnejus	0	NA
Lycaenidae_Lepidochrysops_dukei	1	NA
Lycaenidae_Famegana_alsulus	1	NA
Lycaenidae_Zizula_hylax	0	NA
Lycaenidae_Oraidium_barberae	1	NA
Lycaenidae_Erysichton_palmyra	1	NA
Lycaenidae_Erysichton_lineata	1	NA
Lycaenidae_Azanus_mirza	0	NA
Lycaenidae_Arhopala_ganesa	1	NA
Lycaenidae_Neolucia_mathewi	1	NA
Lycaenidae_Neolucia_hobartensis	1	NA
Lycaenidae_Neolucia_agricola	1	NA
Lycaenidae_Pithecops_corvus	0	NA
Lycaenidae_Pithecops_dionisius	1	NA
Lycaenidae_Niphanda_fusca	0	NA
Lycaenidae_Ussuriana_stygiana	1	NA
Lycaenidae_Rapala_arata	0	NA
Lycaenidae_Arhopala_alaconia	1	NA
Lycaenidae_Arhopala_amphimuta	1	NA
Lycaenidae_Arhopala_moolaiana	1	NA
Lycaenidae_Arhopala_zylda	1	NA
Lycaenidae_Arhopala_major	1	NA
Lycaenidae_Arhopala_muta	1	NA
Lycaenidae_Arhopala_antimuta	1	NA
Lycaenidae_Arhopala_buddha	1	NA
Lycaenidae_Arhopala_atosia	0	NA
Lycaenidae_Arhopala_horsfieldi	1	NA
Lycaenidae_Arhopala_pseudocentaurus	0	NA
Lycaenidae_Arhopala_madytus	1	NA
Lycaenidae_Arhopala_centaurus	0	NA
Lycaenidae_Arhopala_japonica	1	NA
Lycaenidae_Arhopala_abseus	0	NA
Lycaenidae_Flos_anniella	1	NA
Lycaenidae_Miletus_ancon	1	NA
Lycaenidae_Taraka_hamada	1	NA
Lycaenidae_Liphyra_brassolis	1	NA
Lycaenidae_Baliochila_minima	1	NA
Lycaenidae_Poritia_erycinoides	1	NA
Lycaenidae_Zesius_chrysomallus	0	NA
Lycaenidae_Hypochrysops_miskini	1	NA
Lycaenidae_Ogyris_idmo	1	NA
Lycaenidae_Lucia_limbaria	1	NA
Lycaenidae_Candalides_geminus	1	NA
Lycaenidae_Quercusia_quercus	1	NA
Lycaenidae_Favonius_saphirinus	1	NA
Lycaenidae_Favonius_ultramarinus	1	NA
Lycaenidae_Favonius_cognatus	1	NA
Lycaenidae_Favonius_korshunovi	1	NA
Lycaenidae_Chrysozephyrus_ataxus	1	NA
Lycaenidae_Favonius_jezoensis	1	NA
Lycaenidae_Chrysozephyrus_smaragdinus	1	NA
Lycaenidae_Antigius_butleri	1	NA
Lycaenidae_Antigius_attilia	1	NA
Lycaenidae_Araragi_enthea	0	NA
Lycaenidae_Wagimo_signata	1	NA
Lycaenidae_Japonica_lutea	1	NA
Lycaenidae_Callophrys_ferrea	0	NA
Lycaenidae_Japonica_saepestriata	1	NA
Lycaenidae_Semanga_superba	1	NA
Lycaenidae_Surendra_vivarna	1	NA
Lycaenidae_Coreana_raphaelis	1	NA
Lycaenidae_Ussuriana_michaelis	1	NA
Lycaenidae_Artopoetes_pryeri	0	NA
Lycaenidae_Thecla_betulae	0	NA
Lycaenidae_Jalmenus_pseudictinus	1	NA
Lycaenidae_Jalmenus_daemeli	1	NA
Lycaenidae_Jalmenus_clementi	1	NA
Lycaenidae_Jalmenus_evagoras	1	NA
Lycaenidae_Jalmenus_ictinus	0	NA
Lycaenidae_Jalmenus_eichhorni	1	NA
Lycaenidae_Jalmenus_icilius	1	NA
Lycaenidae_Jalmenus_lithochroa	1	NA
Lycaenidae_Jalmenus_inous	1	NA
Lycaenidae_Satyrium_prunoides	1	NA
Lycaenidae_Satyrium_eximia	1	NA
Lycaenidae_Satyrium_behrii	0	NA
Lycaenidae_Satyrium_pruni	1	NA
Lycaenidae_Rapala_caerulea	1	NA
Lycaenidae_Pseudalmenus_chlorinda	1	NA
Lycaenidae_Lycaena_dispar	1	NA
Lycaenidae_Lycaena_phlaeas	0	NA
Lycaenidae_Lycaena_tityrus	1	NA
Lycaenidae_Lycaena_virgaureae	1	NA
Lycaenidae_Lycaena_solskyi	1	NA
Lycaenidae_Anthene_emolus	0	NA
Lycaenidae_Deudorix_antalus	0	NA
Lycaenidae_Deudorix_epijarbas	0	NA
Lycaenidae_Curetis_bulis	1	NA
Lycaenidae_Hypolycaena_erylus	0	NA
Lycaenidae_Curetis_acuta	1	NA
Riodinidae_Apodemia_mormo	1	NA
Riodinidae_Emesis_mandana	0	NA
Riodinidae_Hamearis_lucina	1	NA
Pieridae_Delias_nais	1	NA
Pieridae_Delias_descombesi	0	NA
Pieridae_Delias_hyparete	0	NA
Pieridae_Delias_pasithoe	0	NA
Pieridae_Delias_baracasa	1	NA
Pieridae_Delias_belisama	0	NA
Pieridae_Delias_belladonna	0	NA
Pieridae_Aporia_agathon	1	NA
Pieridae_Aporia_crataegi	0	NA
Pieridae_Eucheira_socialis	1	NA
Pieridae_Neophasia_menapia	1	NA
Pieridae_Mylothris_agathina	0	NA
Pieridae_Mylothris_bernice	1	NA
Pieridae_Cepora_perimale	1	NA
Pieridae_Prioneris_philonome	1	NA
Pieridae_Belenois_antsianaka	1	NA
Pieridae_Cepora_nerissa	1	NA
Pieridae_Appias_lyncida	0	NA
Pieridae_Pontia_beckerii	0	NA
Pieridae_Leptophobia_aripa	0	NA
Pieridae_Pontia_occidentalis	0	NA
Pieridae_Pontia_helice	0	NA
Pieridae_Tatochila_autodice	0	NA
Pieridae_Ascia_monuste	0	NA
Pieridae_Ganyra_josephina	1	NA
Ericaceae_Pieris_virginiensis	1	NA
Ericaceae_Pieris_napi	0	NA
Ericaceae_Pieris_melete	0	NA
Ericaceae_Pieris_canidia	0	NA
Ericaceae_Pieris_rapae	1	NA
Ericaceae_Pieris_brassicae	0	NA
Lycaenidae_Ogyris_amaryllis	1	NA
Pieridae_Talbotia_naganum	0	NA
Pieridae_Appias_sabina	0	NA
Pieridae_Appias_nero	1	NA
Pieridae_Appias_paulina	0	NA
Pieridae_Appias_drusilla	0	NA
Pieridae_Dixeia_charina	1	NA
Pieridae_Leptosia_nina	0	NA
Pieridae_Anthocharis_cardamines	1	NA
Pieridae_Zegris_eupheme	1	NA
Pieridae_Euchloe_ausonides	1	NA
Pieridae_Euchloe_olympia	1	NA
Pieridae_Pinacopteryx_eriphia	1	NA
Pieridae_Ixias_pyrene	1	NA
Pieridae_Eronia_cleodora	0	NA
Pieridae_Colotis_hetaera	1	NA
Pieridae_Nepheronia_thalassina	1	NA
Pieridae_Pareronia_valeria	1	NA
Pieridae_Leptosia_alcesta	1	NA
Pieridae_Hebomoia_glaucippe	0	NA
Pieridae_Colias_meadii	1	NA
Pieridae_Colias_christina	1	NA
Pieridae_Colias_hyale	1	NA
Pieridae_Colias_hyperborea	1	NA
Pieridae_Colias_philodice	1	NA
Pieridae_Colias_eurytheme	0	NA
Pieridae_Colias_hecla	0	NA
Pieridae_Colias_croceus	1	NA
Pieridae_Colias_erate	1	NA
Pieridae_Colias_electo	0	NA
Pieridae_Colias_pelidne	1	NA
Pieridae_Colias_interior	1	NA
Pieridae_Colias_behrii	0	NA
Pieridae_Zerene_cesonia	1	NA
Pieridae_Anteos_clorinde	1	NA
Pieridae_Dercas_verhuelli	1	NA
Pieridae_Catopsilia_pyranthe	0	NA
Pieridae_Catopsilia_scylla	1	NA
Pieridae_Catopsilia_pomona	1	NA
Pieridae_Catopsilia_florella	0	NA
Pieridae_Zerene_eurydice	1	NA
Pieridae_Phoebis_sennae	0	NA
Pieridae_Aphrissa_statira	0	NA
Pieridae_Gonepteryx_rhamni	0	NA
Pieridae_Gonepteryx_amintha	0	NA
Pieridae_Gonepteryx_mahaguru	1	NA
Pieridae_Gandaca_harina	1	NA
Pieridae_Nathalis_iole	0	NA
Pieridae_Kricogonia_lyside	1	NA
Pieridae_Eurema_blanda	0	NA
Pieridae_Eurema_hecabe	0	NA
Pieridae_Eurema_brigitta	0	NA
Pieridae_Eurema_mexicana	1	NA
Pieridae_Eurema_floricola	1	NA
Pieridae_Phoebis_philea	1	NA
Pieridae_Dismorphia_amphiona	1	NA
Pieridae_Pseudopieris_nehemia	1	NA
Pieridae_Leptidea_morsei	1	NA
Pieridae_Leptidea_sinapis	1	NA
Pieridae_Pseudopontia_paradoxa	0	NA
Papilionidae_Papilio_maackii	1	NA
Papilionidae_Papilio_krishna	1	NA
Papilionidae_Papilio_arcturus	1	NA
Papilionidae_Papilio_paris	1	NA
Papilionidae_Papilio_bianor	0	NA
Papilionidae_Papilio_polyctor	1	NA
Papilionidae_Papilio_dialis	1	NA
Papilionidae_Papilio_palinurus	1	NA
Papilionidae_Papilio_peranthus	1	NA
Papilionidae_Papilio_anactus	1	NA
Papilionidae_Papilio_polyxenes	0	NA
Papilionidae_Papilio_zelicaon	0	NA
Papilionidae_Papilio_machaon	0	NA
Papilionidae_Papilio_indra	0	NA
Papilionidae_Papilio_nephelus	1	NA
Papilionidae_Papilio_polytes	1	NA
Papilionidae_Papilio_protenor	0	NA
Papilionidae_Papilio_macilentus	1	NA
Papilionidae_Papilio_aegeus	1	NA
Papilionidae_Papilio_memnon	0	NA
Papilionidae_Papilio_helenus	1	NA
Papilionidae_Papilio_fuscus	0	NA
Papilionidae_Papilio_nobilis	1	NA
Papilionidae_Papilio_demodocus	0	NA
Papilionidae_Papilio_demoleus	0	NA
Papilionidae_Papilio_dardanus	0	NA
Papilionidae_Papilio_phorcas	1	NA
Papilionidae_Papilio_constantinus	1	NA
Papilionidae_Papilio_rex	1	NA
Papilionidae_Papilio_lormieri	1	NA
Papilionidae_Papilio_glaucus	0	NA
Papilionidae_Papilio_troilus	0	NA
Papilionidae_Papilio_rutulus	0	NA
Papilionidae_Papilio_multicaudatus	0	NA
Papilionidae_Papilio_scamander	0	NA
Papilionidae_Papilio_laglaizei	1	NA
Papilionidae_Papilio_palamedes	0	NA
Papilionidae_Papilio_pilumnus	1	NA
Papilionidae_Papilio_clytia	0	NA
Papilionidae_Papilio_epycides	1	NA
Papilionidae_Papilio_alexanor	1	NA
Papilionidae_Papilio_torquatus	1	NA
Papilionidae_Papilio_hectorides	0	NA
Papilionidae_Papilio_anchisiades	1	NA
Papilionidae_Papilio_astyalus	1	NA
Papilionidae_Papilio_thoas	0	NA
Papilionidae_Papilio_cresphontes	0	NA
Papilionidae_Meandrusa_payeni	1	NA
Papilionidae_Teinopalpus_imperialis	1	NA
Papilionidae_Troides_helena	1	NA
Papilionidae_Troides_amphrysus	1	NA
Papilionidae_Pachliopta_hector	1	NA
Papilionidae_Parides_anchises	1	NA
Papilionidae_Parides_vertumnus	1	NA
Papilionidae_Parides_sesostris	1	NA
Papilionidae_Parides_zacynthus	1	NA
Papilionidae_Parides_neophilus	0	NA
Papilionidae_Parides_lysander	0	NA
Papilionidae_Parides_panthonus	1	NA
Papilionidae_Parides_eurimedes	1	NA
Papilionidae_Parides_aeneas	1	NA
Papilionidae_Parides_tros	1	NA
Papilionidae_Parides_ascanius	1	NA
Papilionidae_Parides_proneus	1	NA
Papilionidae_Parides_agavus	1	NA
Papilionidae_Euryades_corethrus	1	NA
Papilionidae_Atrophaneura_laos	1	NA
Papilionidae_Atrophaneura_alcinous	1	NA
Papilionidae_Cressida_cressida	1	NA
Papilionidae_Pharmacophagus_antenor	0	NA
Papilionidae_Battus_polystictus	1	NA
Papilionidae_Battus_belus	1	NA
Papilionidae_Battus_crassus	1	NA
Papilionidae_Battus_philenor	0	NA
Papilionidae_Battus_polydamas	0	NA
Graphium_aristeus	1	NA
Graphium_antiphates	0	NA
Graphium_ridleyanus	1	NA
Graphium_leonidas	0	NA
Graphium_eurypylus	0	NA
Graphium_doson	0	NA
Graphium_empedovana	1	NA
Graphium_sarpedon	0	NA
Graphium_cloanthus	0	NA
Graphium_agamemnon	0	NA
Graphium_nomius	0	NA
Papilionidae_Eurytides_marcellus	1	NA
Papilionidae_Lamproptera_curius	1	NA
Papilionidae_Lamproptera_meges	1	NA
Papilionidae_Iphiclides_podalirius	0	NA
Papilionidae_Parnassius_glacialis	1	NA
Papilionidae_Parnassius_stubbendorfii	1	NA
Papilionidae_Parnassius_mnemosyne	1	NA
Papilionidae_Parnassius_eversmanni	1	NA
Papilionidae_Parnassius_clodius	1	NA
Papilionidae_Parnassius_tenedius	1	NA
Papilionidae_Parnassius_phoebus	1	NA
Papilionidae_Parnassius_bremeri	1	NA
Papilionidae_Parnassius_apollo	0	NA
Papilionidae_Parnassius_nomion	1	NA
Papilionidae_Hypermnestra_helios	1	NA
Papilionidae_Zerynthia_polyxena	1	NA
Papilionidae_Zerynthia_rumina	1	NA
Papilionidae_Bhutanitis_lidderdalii	1	NA
Papilionidae_Sericinus_montela	1	NA
Papilionidae_Luehdorfia_chinensis	1	NA
Papilionidae_Luehdorfia_longicaudata	1	NA
Papilionidae_Luehdorfia_puziloi	1	NA
Papilionidae_Luehdorfia_japonica	1	NA
Papilionidae_Archon_apollinus	1	NA
Papilionidae_Baronia_brevicornis	1	NA
